504,504,504,504
3700,3701,3196,3197
10478,10477,6778,6776
21486,21485,11008,11008
33933,33933,12447,12448
51530,51529,17597,17596
69695,69695,18165,18166
92077,92080,22382,22385
115278,115278,23201,23198
140270,140270,24992,24992
165181,165179,24911,24909
190153,190148,24972,24969
215427,215418,25274,25270
239881,239880,24454,24462
264503,264493,24622,24613
286826,287989,22323,23496
314361,309595,27535,21606
332702,332701,18341,23106
356032,356017,23330,23316
381760,379665,25728,23648
404151,404645,22391,24980
132,131,132,131
3321,3320,3189,3189
9736,9737,6415,6417
19743,19743,10007,10006
32495,32495,12752,12752
49134,49134,16639,16639
68634,68636,19500,19502
90888,90888,22254,22252
114275,114271,23387,23383
138753,138751,24478,24480
164279,164275,25526,25524
190213,190211,25934,25936
216135,216133,25922,25922
242788,242788,26653,26655
269450,269445,26662,26657
296545,296546,27095,27101
323506,323507,26961,26961
350330,350331,26824,26824
377255,377255,26925,26924
404151,404149,26896,26894
431018,431016,26867,26867
