dns,tcp,user_gateway,gateway_fx
0.00289,0.000544,0.000485,0.004485
0.001486,0.008278,0.011713,0.013713
0.002031,0.013393,0.0119,0.0139
0.001493,0.014856,0.016772,0.020772
0.001456,0.010475,0.011804,0.013804
0.0023,0.015312,0.012237,0.012237
0.002259,0.007055,0.014411,0.012411
0.002397,0.010627,0.007729,0.011729
0.001404,0.007778,0.066846,0.066846
0.001809,0.01273,0.011917,0.013917
0.02215,0.010672,0.013646,0.015647
0.001783,0.011358,0.015197,0.015197
0.005093,0.010133,0.014211,0.012211
0.002198,0.012813,0.011772,0.011772
0.024717,0.009359,0.014175,0.016175
0.002532,0.009452,0.016912,0.012912
0.002101,0.015428,0.012039,0.010039
0.001661,0.011371,0.006931,0.010931
0.003414,0.008177,0.012194,0.010194
0.002138,0.011024,0.013092,0.011092
0.024712,0.008383,0.013007,0.011006
0.001598,0.01309,0.013411,0.015412
0.002322,0.012131,0.013151,0.013151
0.001407,0.00975,0.010612,0.006612
0.0023,0.007339,0.011104,0.015104
0.001661,0.013397,0.012653,0.008653
0.001647,0.01205,0.010349,0.012349
0.002143,0.012247,0.012611,0.014611
0.002001,0.010669,0.011333,0.015333
0.028434,0.014735,0.014641,0.012641
0.018986,0.015236,0.013038,0.013038
0.002397,0.008936,0.011507,0.013507
0.002392,0.008711,0.010464,0.014464
0.00251,0.011183,0.014608,0.010608
0.001984,0.011986,0.015588,0.013588
0.002214,0.013417,0.01519,0.01319
0.002591,0.013213,0.01292,0.01492
0.002452,0.020208,0.010193,0.012193
0.002006,0.012315,0.012852,0.010852
0.002849,0.006038,0.009835,0.013835
0.03225,0.014489,0.015555,0.015555
0.003179,0.007435,0.010405,0.014405
0.002551,0.009287,0.01239,0.01439
0.003679,0.008244,0.011476,0.013476
0.029076,0.006299,0.00939,0.01139
0.002163,0.011102,0.011626,0.013626
0.001912,0.010392,0.01341,0.01141
0.001875,0.012655,0.010677,0.012677
0.001583,0.007098,0.008682,0.010683
0.001565,0.013719,0.010804,0.014804
0.030645,0.009041,0.012833,0.008833
0.002846,0.006615,0.013934,0.013934
0.001493,0.014359,0.008674,0.012674
0.002644,0.013534,0.01188,0.01388
0.00153,0.009701,0.013679,0.013679
0.001459,0.010466,0.017279,0.017279
0.002679,0.007119,0.009385,0.009385
0.002045,0.008762,0.014002,0.014002
0.002953,0.020197,0.010716,0.010716
0.025179,0.01392,0.011476,0.015476
0.013234,0.011983,0.013982,0.017982
0.001494,0.014305,0.011397,0.015397
0.002422,0.007734,0.011451,0.013451
0.001544,0.007932,0.029595,0.033596
0.00148,0.011884,0.007438,0.011438
0.001835,0.012113,0.011721,0.011721
0.002283,0.009705,0.014533,0.010533
0.001422,0.014126,0.011491,0.00949
0.003177,0.015627,0.011078,0.009078
0.003284,0.011979,0.016081,0.012081
0.017296,0.014625,0.012437,0.012437
0.001479,0.007675,0.009236,0.009236
0.003226,0.010947,0.010378,0.012378
0.001811,0.010902,0.009628,0.013628
0.033392,0.013353,0.012932,0.008932
0.001992,0.012659,0.01661,0.01261
0.003249,0.008313,0.014558,0.012558
0.003079,0.007371,0.010996,0.010996
0.0019,0.00757,0.010027,0.012027
0.00271,0.009184,0.011652,0.015652
0.018469,0.004904,0.014875,0.010875
0.002006,0.009795,0.016112,0.012111
0.002532,0.009981,0.013307,0.009307
0.001792,0.009989,0.011252,0.013253
0.003948,0.009438,0.009184,0.011184
0.002559,0.005752,0.01094,0.012941
0.001845,0.012283,0.014588,0.010588
0.001796,0.008818,0.013007,0.009007
0.00315,0.011676,0.009359,0.013359
0.029017,0.011138,0.007639,0.011639
0.011001,0.012363,0.016617,0.014617
0.00214,0.010357,0.013777,0.009777
0.001719,0.013334,0.017698,0.013698
0.002754,0.00882,0.01466,0.01066
0.00153,0.012894,0.009553,0.013553
0.001675,0.009569,0.011153,0.011153
0.001375,0.009539,0.013642,0.013642
0.001439,0.014766,0.017325,0.019325
0.002017,0.012396,0.01449,0.01249
0.0018,0.012487,0.009938,0.011938
0.021506,0.010994,0.01206,0.01206
0.001972,0.013132,0.012858,0.008858
0.002898,0.014242,0.014166,0.010166
0.001864,0.01021,0.013068,0.013068
0.02869,0.012909,0.012685,0.016685
0.001412,0.025271,0.01285,0.01685
0.002075,0.009425,0.013481,0.013481
0.003874,0.025104,0.013743,0.015742
0.00198,0.013124,0.009337,0.009337
0.002256,0.011792,0.010441,0.010441
0.028749,0.010212,0.02295,0.02295
0.001516,0.010514,0.012296,0.012296
0.002117,0.007541,0.010432,0.012432
0.001682,0.014545,0.016571,0.014571
0.002444,0.01159,0.013923,0.011922
0.002322,0.013134,0.012969,0.012969
0.001801,0.011221,0.016123,0.012124
0.00163,0.006471,0.013694,0.015693
0.002233,0.013113,0.011291,0.013291
0.022509,0.010011,0.013254,0.011253
